config,r1_acc,r1_n_answered,qwen_acc,qwen_n_answered,r1_minus_qwen,r1_drop_vs_clean,qwen_drop_vs_clean
clean,0.8505,455,0.9158,499,-0.0653,0.0,0.0
typo25_real10,0.8645,487,0.9217,498,-0.0572,0.0139,0.0059
typo25_real40,0.856,486,0.9093,496,-0.0533,0.0054,-0.0066
typo25_real70,0.82,489,0.9034,497,-0.0834,-0.0305,-0.0124
typo50_real10,0.8193,487,0.9058,499,-0.0865,-0.0312,-0.01
typo50_real40,0.8308,461,0.8878,499,-0.057,-0.0197,-0.0281
typo50_real70,0.8244,484,0.8793,497,-0.0549,-0.0262,-0.0366
typo75_real10,0.8074,488,0.8737,499,-0.0664,-0.0432,-0.0421
typo75_real40,0.7732,485,0.8898,499,-0.1166,-0.0774,-0.0261
typo75_real70,0.7469,486,0.839,497,-0.0921,-0.1036,-0.0768
