config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac
clean,443,4.693,5,0.5892,0.029,0,0.0045,0.9503,0.9955
typo25_real10,481,5.04,5,0.657,0.8,1,0.0395,0.9397,0.842
typo25_real40,481,5.077,5,0.6528,0.952,1,0.0665,0.9252,0.8586
typo25_real70,486,5.239,5,0.6831,1.152,1,0.0967,0.9444,0.8292
typo50_real10,480,5.371,6,0.7,0.89,1,0.0792,0.9354,0.8812
typo50_real40,454,5.185,5,0.674,0.987,1,0.0947,0.9339,0.848
typo50_real70,481,5.366,6,0.684,1.204,1,0.1289,0.9231,0.8337
typo75_real10,481,5.572,6,0.7277,1.123,1,0.1143,0.9023,0.8233
typo75_real40,477,5.556,6,0.7191,1.354,1,0.1824,0.9182,0.7925
typo75_real70,480,5.754,6,0.7354,1.587,1,0.2292,0.9042,0.75
