config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,10.713,12.97,1.211,11.844,19.679,1.661,22.557,32.649,1.447
typo25_real10,11.063,14.54,1.314,12.939,20.29,1.568,24.002,34.83,1.451
typo25_real40,10.774,11.76,1.092,11.436,19.581,1.712,22.21,31.341,1.411
typo25_real70,10.276,12.145,1.182,11.322,21.921,1.936,21.598,34.066,1.577
typo50_real10,10.716,11.753,1.097,13.051,19.626,1.504,23.767,31.379,1.32
typo50_real40,11.612,12.065,1.039,12.968,24.922,1.922,24.581,36.987,1.505
typo50_real70,10.664,12.242,1.148,13.617,22.733,1.669,24.281,34.975,1.44
typo75_real10,11.54,11.557,1.002,14.991,22.133,1.476,26.531,33.69,1.27
typo75_real40,11.352,11.307,0.996,16.328,22.601,1.384,27.679,33.908,1.225
typo75_real70,11.637,11.651,1.001,16.419,24.121,1.469,28.056,35.772,1.275
