config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,12.927,15.532,1.201,6.085,11.839,1.946,19.012,27.371,1.44
typo25_real10,13.997,14.452,1.033,11.553,17.446,1.51,25.55,31.899,1.249
typo25_real40,13.78,16.765,1.217,11.573,19.455,1.681,25.353,36.22,1.429
typo25_real70,13.701,15.165,1.107,11.769,17.197,1.461,25.47,32.362,1.271
typo50_real10,13.586,16.473,1.212,13.437,22.525,1.676,27.023,38.998,1.443
typo50_real40,13.677,15.736,1.151,12.041,21.729,1.805,25.718,37.464,1.457
typo50_real70,13.595,15.141,1.114,14.793,25.215,1.705,28.388,40.357,1.422
typo75_real10,14.395,14.908,1.036,15.552,25.291,1.626,29.947,40.198,1.342
typo75_real40,14.112,14.877,1.054,15.768,26.55,1.684,29.881,41.427,1.386
typo75_real70,13.656,14.038,1.028,17.885,25.499,1.426,31.541,39.537,1.253
