config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,500,13.371,11.144,7.065,5.888,20.435,17.032
typo25_real10,491,14.123,15.224,13.186,14.214,27.308,29.438
typo25_real40,489,14.676,15.505,13.938,14.726,28.614,30.231
typo25_real70,489,14.148,14.914,13.427,14.153,27.575,29.067
typo50_real10,490,14.682,16.804,16.888,19.329,31.57,36.133
typo50_real40,481,14.545,16.911,16.125,18.748,30.67,35.659
typo50_real70,492,14.321,18.628,19.685,25.606,34.005,44.234
typo75_real10,481,14.616,18.208,19.758,24.613,34.375,42.821
typo75_real40,474,14.51,20.291,21.375,29.892,35.885,50.184
typo75_real70,466,13.865,19.56,22.05,31.107,35.916,50.667
