config,delta_strict,completion_component,quality_component
rate25_real70,-0.0904,-0.0123,-0.0782
rate75_real20,-0.2604,-0.0047,-0.2557
rate50_real20,-0.1744,-0.0109,-0.1635
rate25_real50,-0.1244,-0.0147,-0.1097
rate75_real40,-0.2944,-0.0023,-0.2922
rate50_real60,-0.2264,-0.0075,-0.2189
rate25_real10,-0.0824,-0.0156,-0.0669
rate25_real0,-0.0724,-0.019,-0.0535
rate50_real0,-0.1384,-0.013,-0.1255
rate25_real30,-0.1024,-0.0121,-0.0903
rate75_real60,-0.3324,-0.0104,-0.3221
rate50_real40,-0.1824,-0.0081,-0.1744
rate75_real30,-0.3004,-0.0122,-0.2883
rate50_real10,-0.1584,-0.0126,-0.1459
rate25_real60,-0.1084,-0.0166,-0.0919
rate25_real40,-0.1124,-0.0104,-0.102
rate75_real0,-0.2024,-0.0198,-0.1827
rate75_real10,-0.2164,-0.0064,-0.2101
rate50_real30,-0.1824,-0.0121,-0.1703
rate50_real70,-0.2404,-0.0074,-0.2331
rate75_real50,-0.3464,-0.003,-0.3434
rate50_real50,-0.2144,-0.0039,-0.2106
rate75_real70,-0.3644,-0.0048,-0.3596
rate25_real20,-0.0964,-0.0215,-0.0749
typo30_real0,-0.0764,-0.0141,-0.0623
typo30_real10,-0.0624,-0.0128,-0.0497
typo30_real20,-0.0704,-0.0095,-0.061
typo30_real30,-0.1124,-0.0288,-0.0836
typo30_real40,-0.0824,-0.0124,-0.07
typo30_real50,-0.1124,-0.0165,-0.096
typo30_real60,-0.1204,-0.0148,-0.1057
typo30_real70,-0.1284,-0.0176,-0.1109
