config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,1319,1306,0.8407,0.8324,0.8112,0.8537
rate25_real70,500,487,0.7618,0.742,0.702,0.78
rate75_real20,500,491,0.5825,0.572,0.53,0.616
rate50_real20,500,487,0.6756,0.658,0.616,0.702
rate25_real50,500,485,0.7299,0.708,0.668,0.748
rate75_real40,500,493,0.5456,0.538,0.494,0.582
rate50_real60,500,489,0.6196,0.606,0.564,0.648
rate25_real10,500,485,0.7732,0.75,0.712,0.784
rate25_real0,500,483,0.7867,0.76,0.724,0.798
rate50_real0,500,486,0.714,0.694,0.654,0.732
rate25_real30,500,487,0.7495,0.73,0.692,0.768
rate75_real60,500,485,0.5155,0.5,0.458,0.546
rate50_real40,500,489,0.6646,0.65,0.608,0.694
rate75_real30,500,484,0.5496,0.532,0.49,0.578
rate50_real10,500,486,0.6934,0.674,0.634,0.714
rate25_real60,500,484,0.7479,0.724,0.682,0.762
rate25_real40,500,488,0.7377,0.72,0.68,0.756
rate75_real0,500,480,0.6562,0.63,0.588,0.674
rate75_real10,500,490,0.6286,0.616,0.576,0.658
rate50_real30,500,486,0.6687,0.65,0.608,0.69
rate50_real70,500,489,0.6053,0.592,0.548,0.638
rate75_real50,500,492,0.4939,0.486,0.444,0.528
rate50_real50,500,492,0.628,0.618,0.576,0.66
rate75_real70,500,490,0.4776,0.468,0.424,0.512
rate25_real20,500,481,0.7651,0.736,0.696,0.774
typo30_real0,500,486,0.7778,0.756,0.716,0.792
typo30_real10,500,487,0.7906,0.77,0.73,0.806
typo30_real20,500,489,0.7791,0.762,0.724,0.798
typo30_real30,500,476,0.7563,0.72,0.682,0.758
typo30_real40,500,487,0.77,0.75,0.712,0.788
typo30_real50,500,484,0.7438,0.72,0.68,0.756
typo30_real60,500,485,0.734,0.712,0.672,0.752
typo30_real70,500,483,0.7288,0.704,0.662,0.744
