config,n_both,r2w,w2r,r2w_ratio,w2r_ratio,net_flip_ratio,mcnemar_b,mcnemar_c,mcnemar_stat,mcnemar_p
rate25_real70,485,64,27,0.132,0.0557,0.0763,64,27,14.242,0.00016076
rate75_real20,489,139,17,0.2843,0.0348,0.2495,139,17,93.853,0.0
rate50_real20,484,105,26,0.2169,0.0537,0.1632,105,26,46.443,0.0
rate25_real50,482,68,19,0.1411,0.0394,0.1017,68,19,26.483,2.7e-07
rate75_real40,490,160,17,0.3265,0.0347,0.2918,160,17,113.921,0.0
rate50_real60,487,127,20,0.2608,0.0411,0.2197,127,20,76.435,0.0
rate25_real10,483,57,27,0.118,0.0559,0.0621,57,27,10.012,0.00155532
rate25_real0,482,46,16,0.0954,0.0332,0.0622,46,16,13.565,0.0002305
rate50_real0,484,84,24,0.1736,0.0496,0.124,84,24,32.231,1e-08
rate25_real30,486,66,22,0.1358,0.0453,0.0905,66,22,21.011,4.57e-06
rate75_real60,483,171,15,0.354,0.0311,0.323,171,15,129.167,0.0
rate50_real40,488,103,19,0.2111,0.0389,0.1721,103,19,56.467,0.0
rate75_real30,482,154,14,0.3195,0.029,0.2905,154,14,115.006,0.0
rate50_real10,484,92,23,0.1901,0.0475,0.1426,92,23,40.209,0.0
rate25_real60,482,67,24,0.139,0.0498,0.0892,67,24,19.385,1.069e-05
rate25_real40,486,72,19,0.1481,0.0391,0.1091,72,19,29.714,5e-08
rate75_real0,478,114,28,0.2385,0.0586,0.1799,114,28,50.88,0.0
rate75_real10,488,125,23,0.2561,0.0471,0.209,125,23,68.926,0.0
rate50_real30,484,100,16,0.2066,0.0331,0.1736,100,16,59.388,0.0
rate50_real70,487,129,17,0.2649,0.0349,0.23,129,17,84.39,0.0
rate75_real50,489,179,14,0.3661,0.0286,0.3374,179,14,139.358,0.0
rate50_real50,489,121,20,0.2474,0.0409,0.2065,121,20,70.922,0.0
rate75_real70,487,189,16,0.3881,0.0329,0.3552,189,16,144.312,0.0
rate25_real20,480,61,25,0.1271,0.0521,0.075,61,25,14.244,0.00016056
typo30_real0,485,57,25,0.1175,0.0515,0.066,57,25,11.72,0.00061848
typo30_real10,486,51,25,0.1049,0.0514,0.0535,51,25,8.224,0.00413472
typo30_real20,486,57,29,0.1173,0.0597,0.0576,57,29,8.477,0.00359715
typo30_real30,475,59,19,0.1242,0.04,0.0842,59,19,19.5,1.006e-05
typo30_real40,485,59,25,0.1216,0.0515,0.0701,59,25,12.964,0.00031749
typo30_real50,482,69,24,0.1432,0.0498,0.0934,69,24,20.817,5.05e-06
typo30_real60,484,72,22,0.1488,0.0455,0.1033,72,22,25.543,4.3e-07
typo30_real70,481,79,25,0.1642,0.052,0.1123,79,25,27.01,2e-07
