config,tok_correct,tok_wrong,wrong_over_correct
clean,582.6,622.8,1.0689
rate25_real70,629.9,699.1,1.1098
rate75_real20,595.8,651.3,1.0931
rate50_real20,621.0,666.1,1.0726
rate25_real50,607.0,746.0,1.2289
rate75_real40,581.9,626.0,1.0758
rate50_real60,569.7,586.2,1.0289
rate25_real10,660.6,813.4,1.2313
rate25_real0,620.5,699.3,1.127
rate50_real0,624.0,613.0,0.9823
rate25_real30,618.9,704.8,1.1387
rate75_real60,529.9,644.0,1.2153
rate50_real40,593.6,644.0,1.0849
rate75_real30,579.3,617.1,1.0653
rate50_real10,636.7,591.7,0.9294
rate25_real60,639.9,720.9,1.1266
rate25_real40,649.7,695.0,1.0698
rate75_real0,590.3,635.9,1.0773
rate75_real10,614.0,755.6,1.2306
rate50_real30,626.9,618.8,0.9871
rate50_real70,595.6,567.8,0.9533
rate75_real50,538.1,637.2,1.1843
rate50_real50,544.5,650.2,1.194
rate75_real70,529.7,607.3,1.1465
rate25_real20,649.7,721.0,1.1098
typo30_real0,611.4,705.8,1.1545
typo30_real10,642.8,712.5,1.1085
typo30_real20,627.7,852.2,1.3577
typo30_real30,619.5,606.9,0.9796
typo30_real40,612.3,744.2,1.2155
typo30_real50,614.7,699.6,1.138
typo30_real60,652.2,668.8,1.0253
typo30_real70,617.7,574.6,0.9304
