config,second_guess,uncertainty,typo_noticing,repair_words
clean,7.15,3.47,0.901,0.755
rate25_real70,8.554,7.525,2.486,1.713
rate75_real20,7.57,9.315,3.298,2.434
rate50_real20,8.658,7.904,2.638,1.713
rate25_real50,8.52,7.059,2.084,1.628
rate75_real40,6.252,10.074,3.374,2.316
rate50_real60,7.351,7.634,2.419,1.822
rate25_real10,9.811,6.593,1.959,1.363
rate25_real0,8.854,5.65,1.872,1.459
rate50_real0,7.29,5.949,1.971,1.296
rate25_real30,8.535,5.937,2.007,1.391
rate75_real60,6.626,9.375,2.916,2.132
rate50_real40,7.765,8.121,2.18,1.852
rate75_real30,7.093,6.86,2.675,1.702
rate50_real10,8.421,9.297,2.795,2.156
rate25_real60,8.04,8.137,2.202,1.676
rate25_real40,8.918,8.706,3.14,2.355
rate75_real0,7.124,8.854,2.742,2.064
rate75_real10,8.944,11.834,3.141,2.434
rate50_real30,8.004,7.572,2.365,1.818
rate50_real70,7.044,7.506,2.21,1.798
rate75_real50,6.146,8.73,3.027,2.007
rate50_real50,5.907,6.454,2.337,1.76
rate75_real70,5.984,9.575,2.591,2.009
rate25_real20,9.679,7.895,2.805,2.247
typo30_real0,8.276,4.461,1.502,1.109
typo30_real10,9.146,7.398,1.995,1.43
typo30_real20,8.795,5.995,1.965,1.377
typo30_real30,8.279,7.192,1.989,1.547
typo30_real40,9.161,7.345,2.814,2.071
typo30_real50,8.74,7.814,2.364,1.811
typo30_real60,8.575,6.988,2.022,1.521
typo30_real70,8.189,5.432,2.043,1.402
