config,n_answered,mean_tok,median_tok,p90_tok,max_tok
clean,1306,589.0,449.5,1110,3966
rate25_real70,487,646.4,469,1209,3972
rate75_real20,491,619.0,462,915,4084
rate50_real20,487,635.6,470,1038,4096
rate25_real50,485,644.6,468,1191,4096
rate75_real40,493,601.9,459,946,4096
rate50_real60,489,576.0,450,880,3508
rate25_real10,485,695.2,487,1395,4096
rate25_real0,483,637.3,458,1112,4096
rate50_real0,486,620.9,459.5,984,4096
rate25_real30,487,640.4,468,1260,4096
rate75_real60,485,585.2,465,845,4096
rate50_real40,489,610.5,456,1001,4096
rate75_real30,484,596.3,468.0,941,4096
rate50_real10,486,622.9,457.0,1179,4096
rate25_real60,484,660.3,466.0,1254,3764
rate25_real40,488,661.6,462.0,1429,4096
rate75_real0,480,606.0,460.0,863,4096
rate75_real10,490,666.6,467.0,1236,4096
rate50_real30,486,624.2,467.5,1131,4096
rate50_real70,489,584.6,454,975,4096
rate75_real50,492,588.3,461.0,850,4096
rate50_real50,492,583.8,461.0,837,4096
rate75_real70,490,570.3,458.5,768,4096
rate25_real20,481,666.5,482,1263,4096
typo30_real0,486,632.4,475.5,1077,4096
typo30_real10,487,657.4,463,1278,4096
typo30_real20,489,677.3,476,1340,4096
typo30_real30,476,616.4,459.0,1071,3743
typo30_real40,487,642.6,460,1197,4096
typo30_real50,484,636.4,456.5,1174,3980
typo30_real60,485,656.6,456,1326,4096
typo30_real70,483,606.0,456,1082,4096
