config,n_corrupt_words,silent_fix_n,flagged_n,misread_n,not_used_n,silent_fix_frac,flagged_frac,misread_frac,not_used_frac
rate25_real70,3548,2119,216,90,1123,0.5972,0.0609,0.0254,0.3165
rate75_real20,9825,5982,215,142,3486,0.6089,0.0219,0.0145,0.3548
rate50_real20,6964,4463,140,63,2298,0.6409,0.0201,0.009,0.33
rate25_real50,3543,2250,131,78,1084,0.6351,0.037,0.022,0.306
rate75_real40,9776,5621,363,209,3583,0.575,0.0371,0.0214,0.3665
rate50_real60,6932,3995,304,183,2450,0.5763,0.0439,0.0264,0.3534
rate25_real10,3537,2395,50,24,1068,0.6771,0.0141,0.0068,0.302
rate25_real0,3493,2353,21,13,1106,0.6736,0.006,0.0037,0.3166
rate50_real0,6928,4580,46,40,2262,0.6611,0.0066,0.0058,0.3265
rate25_real30,3564,2304,106,49,1105,0.6465,0.0297,0.0137,0.31
rate75_real60,9527,5199,394,308,3626,0.5457,0.0414,0.0323,0.3806
rate50_real40,6989,4239,218,127,2405,0.6065,0.0312,0.0182,0.3441
rate75_real30,9621,5779,253,184,3405,0.6007,0.0263,0.0191,0.3539
rate50_real10,6926,4516,86,42,2282,0.652,0.0124,0.0061,0.3295
rate25_real60,3533,2208,162,83,1080,0.625,0.0459,0.0235,0.3057
rate25_real40,3574,2282,132,55,1105,0.6385,0.0369,0.0154,0.3092
rate75_real0,9490,6100,62,57,3271,0.6428,0.0065,0.006,0.3447
rate75_real10,9839,6215,126,106,3392,0.6317,0.0128,0.0108,0.3448
rate50_real30,6878,4317,180,94,2287,0.6277,0.0262,0.0137,0.3325
rate50_real70,6967,3972,353,199,2443,0.5701,0.0507,0.0286,0.3507
rate75_real50,9793,5563,376,272,3582,0.5681,0.0384,0.0278,0.3658
rate50_real50,7060,4203,263,148,2446,0.5953,0.0373,0.021,0.3465
rate75_real70,9653,5105,466,383,3699,0.5289,0.0483,0.0397,0.3832
rate25_real20,3494,2344,79,28,1043,0.6709,0.0226,0.008,0.2985
typo30_real0,4249,2873,13,13,1350,0.6762,0.0031,0.0031,0.3177
typo30_real10,4247,2846,60,28,1313,0.6701,0.0141,0.0066,0.3092
typo30_real20,4292,2786,83,45,1378,0.6491,0.0193,0.0105,0.3211
typo30_real30,4130,2629,102,55,1344,0.6366,0.0247,0.0133,0.3254
typo30_real40,4244,2651,175,69,1349,0.6246,0.0412,0.0163,0.3179
typo30_real50,4212,2584,168,92,1368,0.6135,0.0399,0.0218,0.3248
typo30_real60,4237,2586,208,96,1347,0.6103,0.0491,0.0227,0.3179
typo30_real70,4183,2516,212,113,1342,0.6015,0.0507,0.027,0.3208
