config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,7.328,6.151,0.839,3.176,5.114,1.61,10.504,11.265,1.072
rate25_real70,9.031,7.109,0.787,5.692,13.088,2.299,14.723,20.197,1.372
rate75_real20,7.569,7.57,1.0,8.818,9.986,1.132,16.387,17.556,1.071
rate50_real20,8.649,8.676,1.003,7.477,8.809,1.178,16.126,17.485,1.084
rate25_real50,8.66,8.203,0.947,5.75,10.017,1.742,14.41,18.219,1.264
rate75_real40,6.718,5.689,0.847,9.05,11.315,1.25,15.767,17.003,1.078
rate50_real60,7.635,6.845,0.897,7.389,8.069,1.092,15.024,14.914,0.993
rate25_real10,9.765,9.939,1.018,5.43,9.8,1.805,15.195,19.739,1.299
rate25_real0,8.898,8.698,0.977,5.183,7.312,1.411,14.081,16.01,1.137
rate50_real0,7.983,5.11,0.64,6.453,4.364,0.676,14.437,9.475,0.656
rate25_real30,8.582,8.408,0.98,5.026,8.408,1.673,13.608,16.815,1.236
rate75_real60,5.907,7.204,1.219,7.009,11.277,1.609,12.917,18.481,1.431
rate50_real40,8.789,5.65,0.643,6.887,10.668,1.549,15.676,16.318,1.041
rate75_real30,7.424,6.669,0.898,4.883,9.401,1.925,12.307,16.07,1.306
rate50_real10,9.268,5.945,0.642,8.927,10.378,1.163,18.194,16.324,0.897
rate25_real60,8.199,7.592,0.926,7.014,11.295,1.61,15.213,18.887,1.241
rate25_real40,9.001,8.673,0.964,8.233,10.098,1.226,17.234,18.77,1.089
rate75_real0,7.89,5.569,0.706,8.301,9.977,1.202,16.191,15.546,0.96
rate75_real10,8.248,9.86,1.195,7.792,17.155,2.202,16.041,27.015,1.684
rate50_real30,8.703,6.27,0.72,7.044,8.883,1.261,15.747,15.153,0.962
rate50_real70,7.719,5.715,0.74,8.786,4.986,0.568,16.505,10.701,0.648
rate75_real50,6.313,6.002,0.951,5.555,11.45,2.061,11.868,17.453,1.471
rate50_real50,5.717,6.167,1.079,4.209,9.514,2.261,9.925,15.681,1.58
rate75_real70,6.22,5.798,0.932,8.534,10.397,1.218,14.754,16.195,1.098
rate25_real20,9.487,10.284,1.084,5.907,14.169,2.399,15.394,24.453,1.589
typo30_real0,8.401,7.867,0.936,4.332,4.884,1.128,12.733,12.752,1.001
typo30_real10,9.323,8.488,0.91,6.098,12.244,2.008,15.421,20.732,1.344
typo30_real20,8.179,10.333,1.263,4.745,9.116,1.921,12.924,19.449,1.505
typo30_real30,8.783,6.288,0.716,6.798,8.749,1.287,15.581,15.037,0.965
typo30_real40,9.08,9.385,1.034,6.319,10.195,1.613,15.399,19.58,1.271
typo30_real50,8.859,8.409,0.949,6.803,10.632,1.563,15.663,19.041,1.216
typo30_real60,9.186,6.614,0.72,6.674,7.999,1.199,15.859,14.612,0.921
typo30_real70,9.201,4.47,0.486,6.296,2.257,0.358,15.497,6.727,0.434
