config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,1306,7.15,1.494,3.47,0.725,10.62,2.219
rate25_real70,487,8.554,2.133,7.525,1.877,16.08,4.01
rate75_real20,491,7.57,1.678,9.315,2.065,16.885,3.743
rate50_real20,487,8.658,2.076,7.904,1.895,16.562,3.971
rate25_real50,485,8.52,2.115,7.059,1.753,15.579,3.868
rate75_real40,493,6.252,1.331,10.074,2.144,16.326,3.475
rate50_real60,489,7.351,1.436,7.634,1.491,14.984,2.926
rate25_real10,485,9.811,2.746,6.593,1.845,16.404,4.592
rate25_real0,483,8.854,2.174,5.65,1.387,14.504,3.561
rate50_real0,486,7.29,1.667,5.949,1.36,13.239,3.027
rate25_real30,487,8.535,2.105,5.937,1.464,14.472,3.569
rate75_real60,485,6.626,1.307,9.375,1.849,16.001,3.157
rate50_real40,489,7.765,1.697,8.121,1.775,15.886,3.472
rate75_real30,484,7.093,1.446,6.86,1.399,13.954,2.845
rate50_real10,486,8.421,1.977,9.297,2.183,17.717,4.16
rate25_real60,484,8.04,2.052,8.137,2.076,16.177,4.128
rate25_real40,488,8.918,2.328,8.706,2.273,17.623,4.6
rate75_real0,480,7.124,1.51,8.854,1.877,15.978,3.388
rate75_real10,490,8.944,2.324,11.834,3.076,20.778,5.4
rate50_real30,486,8.004,1.866,7.572,1.765,15.576,3.632
rate50_real70,489,7.044,1.466,7.506,1.562,14.55,3.029
rate75_real50,492,6.146,1.213,8.73,1.724,14.875,2.937
rate50_real50,492,5.907,1.187,6.454,1.297,12.361,2.484
rate75_real70,490,5.984,1.112,9.575,1.78,15.559,2.892
rate25_real20,481,9.679,2.561,7.895,2.089,17.574,4.651
typo30_real0,486,8.276,1.951,4.461,1.051,12.737,3.002
typo30_real10,487,9.146,2.363,7.398,1.912,16.545,4.275
typo30_real20,489,8.795,2.325,5.995,1.585,14.79,3.91
typo30_real30,476,8.279,1.889,7.192,1.641,15.471,3.529
typo30_real40,487,9.161,2.279,7.345,1.828,16.506,4.107
typo30_real50,484,8.74,2.124,7.814,1.899,16.554,4.023
typo30_real60,485,8.575,2.151,6.988,1.753,15.563,3.903
typo30_real70,483,8.189,1.826,5.432,1.211,13.621,3.037
