config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,500,499,0.9238,0.922,0.898,0.944
typo25_real10,500,498,0.8574,0.854,0.822,0.884
typo25_real40,500,499,0.8717,0.87,0.84,0.898
typo25_real70,500,496,0.8548,0.848,0.816,0.878
typo50_real10,500,491,0.7943,0.78,0.746,0.814
typo50_real40,500,487,0.7474,0.728,0.692,0.766
typo50_real70,500,497,0.7404,0.736,0.696,0.774
typo75_real10,500,496,0.7056,0.7,0.66,0.742
typo75_real40,500,481,0.6632,0.638,0.596,0.68
typo75_real70,500,477,0.6394,0.61,0.566,0.654
