config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,13.026,15.8,1.213,6.163,14.873,2.413,19.189,30.673,1.598
typo25_real10,14.029,15.163,1.081,10.328,19.719,1.909,24.357,34.882,1.432
typo25_real40,13.599,15.264,1.122,10.16,18.784,1.849,23.759,34.048,1.433
typo25_real70,13.629,16.05,1.178,9.762,20.664,2.117,23.391,36.714,1.57
typo50_real10,13.833,14.791,1.069,11.53,20.738,1.799,25.363,35.529,1.401
typo50_real40,13.835,14.326,1.035,12.058,20.754,1.721,25.893,35.08,1.355
typo50_real70,13.723,15.259,1.112,13.107,22.581,1.723,26.83,37.841,1.41
typo75_real10,14.055,14.836,1.055,16.855,25.002,1.483,30.911,39.837,1.289
typo75_real40,14.171,14.381,1.015,17.433,24.642,1.413,31.604,39.023,1.235
typo75_real70,14.065,14.077,1.001,19.126,27.078,1.416,33.192,41.155,1.24
