config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac
clean,494,0.684,0,0.0607,0.053,0,0.0081,0.9939,0.998
typo25_real10,481,1.181,0,0.1206,0.47,0,0.0769,0.9813,0.9356
typo25_real40,484,1.054,0,0.1054,0.705,0,0.1322,0.9793,0.938
typo25_real70,485,0.924,0,0.0907,0.565,0,0.101,0.9629,0.934
typo50_real10,484,0.89,0,0.0868,0.531,0,0.0971,0.9814,0.936
typo50_real40,486,0.862,0,0.0864,0.572,0,0.1173,0.9856,0.9527
typo50_real70,484,0.843,0,0.0868,0.624,0,0.1178,0.9855,0.9566
typo75_real10,482,0.934,0,0.1058,0.66,0,0.1203,0.9793,0.9378
typo75_real40,487,0.754,0,0.0903,0.815,0,0.1499,0.9836,0.9466
typo75_real70,486,0.712,0,0.0823,0.817,0,0.1667,0.9753,0.9465
