config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong
clean,485,443,42,4.287,6.69,0.104,0.405
typo25_real10,485,415,70,4.453,7.3,0.557,1.986
typo25_real40,492,428,64,4.619,6.625,0.657,2.062
typo25_real70,489,425,64,4.595,6.484,0.84,2.359
typo50_real10,484,385,99,4.629,7.01,0.904,2.333
typo50_real40,494,391,103,4.583,6.66,1.072,2.136
typo50_real70,494,360,134,4.708,6.627,1.028,2.127
typo75_real10,480,354,126,5.209,6.865,1.147,2.349
typo75_real40,488,328,160,5.32,7.319,1.332,2.844
typo75_real70,471,287,184,4.753,6.136,1.498,2.587
__all__,4862,3816,1046,4.691,6.753,0.871,2.296
