config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac
clean,484,4.314,4,0.3657,0.2,0,0.0207,0.9298,0.9649
typo25_real10,491,4.652,4,0.4664,0.878,0,0.1426,0.9043,0.8534
typo25_real40,490,4.753,4,0.4735,1.012,0,0.1571,0.9245,0.7939
typo25_real70,489,4.779,4,0.4703,1.088,0,0.1677,0.8978,0.7894
typo50_real10,489,5.09,5,0.5337,1.2,0,0.1861,0.8957,0.7873
typo50_real40,493,5.026,5,0.5233,1.278,1,0.211,0.8864,0.7972
typo50_real70,493,5.041,5,0.5314,1.479,1,0.2677,0.9148,0.7789
typo75_real10,482,5.446,6,0.6058,1.651,1,0.3112,0.8797,0.7739
typo75_real40,491,5.796,8,0.6334,1.894,2,0.3646,0.8676,0.7556
typo75_real70,472,5.383,6,0.5975,1.784,2,0.322,0.9047,0.7712
