config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,500,485,0.8474,0.822,0.786,0.856
typo25_real10,500,487,0.8645,0.842,0.808,0.874
typo25_real40,500,486,0.856,0.832,0.798,0.862
typo25_real70,500,489,0.82,0.802,0.764,0.836
typo50_real10,500,487,0.8193,0.798,0.762,0.832
typo50_real40,500,485,0.8247,0.8,0.764,0.834
typo50_real70,500,484,0.8244,0.798,0.76,0.834
typo75_real10,500,488,0.8074,0.788,0.754,0.822
typo75_real40,500,485,0.7732,0.75,0.71,0.788
typo75_real70,500,486,0.7469,0.726,0.686,0.766
