config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,500,499,0.9158,0.914,0.888,0.936
typo25_real10,500,499,0.8377,0.836,0.802,0.868
typo25_real40,500,497,0.829,0.824,0.79,0.856
typo25_real70,500,499,0.8016,0.8,0.764,0.836
typo50_real10,500,499,0.7635,0.762,0.726,0.798
typo50_real40,500,499,0.7154,0.714,0.674,0.752
typo50_real70,500,499,0.6794,0.678,0.634,0.716
typo75_real10,500,492,0.6687,0.658,0.616,0.7
typo75_real40,500,489,0.638,0.624,0.58,0.664
typo75_real70,500,492,0.5691,0.56,0.516,0.604
