config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,11.859,16.213,1.367,5.674,12.973,2.286,17.534,29.186,1.665
typo25_real10,12.006,14.085,1.173,8.361,18.69,2.235,20.367,32.775,1.609
typo25_real40,11.867,11.896,1.002,7.809,15.34,1.964,19.675,27.236,1.384
typo25_real70,11.948,13.848,1.159,8.095,18.085,2.234,20.043,31.933,1.593
typo50_real10,11.46,12.724,1.11,9.389,16.722,1.781,20.849,29.446,1.412
typo50_real40,11.234,11.935,1.062,10.751,18.932,1.761,21.985,30.867,1.404
typo50_real70,11.909,13.275,1.115,10.988,17.502,1.593,22.896,30.777,1.344
typo75_real10,11.075,14.785,1.335,10.716,21.556,2.012,21.79,36.341,1.668
typo75_real40,10.383,13.467,1.297,11.038,23.135,2.096,21.422,36.602,1.709
typo75_real70,11.454,11.661,1.018,15.155,24.941,1.646,26.609,36.601,1.376
