config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,500,500,0.914,0.914,0.888,0.938
typo25_real10,500,497,0.8551,0.85,0.818,0.88
typo25_real40,500,500,0.87,0.87,0.838,0.898
typo25_real70,500,497,0.8672,0.862,0.832,0.892
typo50_real10,500,500,0.796,0.796,0.76,0.83
typo50_real40,500,500,0.79,0.79,0.754,0.824
typo50_real70,500,500,0.728,0.728,0.69,0.766
typo75_real10,500,488,0.7377,0.72,0.68,0.76
typo75_real40,500,495,0.6727,0.666,0.624,0.708
typo75_real70,500,480,0.6042,0.58,0.536,0.624
