config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong
clean,464,441,23,3.587,5.0,0.011,0.435
typo25_real10,463,434,29,3.673,5.172,0.212,0.931
typo25_real40,447,419,28,3.84,5.821,0.298,1.286
typo25_real70,455,427,28,3.848,5.643,0.377,1.286
typo50_real10,460,429,31,3.96,5.484,0.266,1.097
typo50_real40,446,406,40,3.786,6.125,0.259,1.45
typo50_real70,454,415,39,3.636,6.564,0.265,1.436
typo75_real10,456,403,53,3.541,5.509,0.211,1.642
typo75_real40,459,404,55,3.886,5.818,0.334,1.236
typo75_real70,460,396,64,3.801,6.188,0.475,1.516
__all__,4564,4174,390,3.755,5.808,0.268,1.305
