config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong
clean,443,375,68,4.333,6.676,0.021,0.074
typo25_real10,481,417,64,4.772,6.781,0.707,1.406
typo25_real40,481,411,70,4.793,6.743,0.839,1.614
typo25_real70,486,398,88,4.842,7.034,1.008,1.807
typo50_real10,480,394,86,5.081,6.698,0.759,1.488
typo50_real40,454,379,75,4.844,6.907,0.892,1.467
typo50_real70,481,397,84,4.99,7.143,1.065,1.857
typo75_real10,481,390,91,5.259,6.912,0.985,1.714
typo75_real40,477,368,109,5.217,6.697,1.212,1.835
typo75_real70,480,359,121,5.312,7.066,1.379,2.207
__all__,4744,3888,856,4.941,6.877,0.883,1.617
