config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,455,11.087,8.798,13.599,10.791,24.686,19.589
typo25_real10,487,11.807,9.916,14.511,12.187,26.318,22.103
typo25_real40,486,11.012,9.377,13.399,11.409,24.411,20.786
typo25_real70,489,10.85,9.245,14.574,12.419,25.424,21.665
typo50_real10,487,10.975,9.735,14.69,13.031,25.665,22.766
typo50_real40,461,11.611,10.562,15.886,14.451,27.497,25.013
typo50_real70,484,11.101,10.225,16.141,14.868,27.242,25.093
typo75_real10,488,11.545,10.969,17.063,16.213,28.608,27.182
typo75_real40,485,11.337,11.027,18.354,17.852,29.692,28.878
typo75_real70,486,11.642,11.675,19.197,19.251,30.839,30.926
