config,n,n_answered,acc_answered,acc_strict,ci_lo,ci_hi
clean,500,481,0.9522,0.916,0.89,0.94
typo25_real10,500,454,0.9075,0.824,0.792,0.856
typo25_real40,500,458,0.9083,0.832,0.8,0.864
typo25_real70,500,454,0.8943,0.812,0.776,0.848
typo50_real10,500,446,0.843,0.752,0.714,0.788
typo50_real40,500,445,0.8247,0.734,0.696,0.772
typo50_real70,500,433,0.7898,0.684,0.642,0.724
typo75_real10,500,412,0.7816,0.644,0.602,0.686
typo75_real40,500,417,0.7626,0.636,0.594,0.68
typo75_real70,500,392,0.7143,0.56,0.514,0.604
