config,n,n_correct,n_wrong,mean_doubt_correct,mean_doubt_wrong,mean_repair_correct,mean_repair_wrong
clean,494,413,81,0.654,0.84,0.044,0.099
typo25_real10,481,371,110,1.127,1.364,0.353,0.864
typo25_real40,484,357,127,1.036,1.102,0.49,1.307
typo25_real70,485,369,116,0.916,0.948,0.393,1.112
typo50_real10,484,336,148,0.985,0.676,0.473,0.662
typo50_real40,486,324,162,0.765,1.056,0.377,0.963
typo50_real70,484,295,189,0.881,0.783,0.393,0.984
typo75_real10,482,303,179,0.776,1.201,0.36,1.168
typo75_real40,487,266,221,0.789,0.71,0.481,1.217
typo75_real70,486,233,253,0.451,0.953,0.451,1.154
__all__,4853,3267,1586,0.852,0.946,0.37,1.014
