config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,12.618,15.863,1.257,5.377,9.688,1.802,17.996,25.551,1.42
typo25_real10,12.993,14.793,1.139,7.008,16.555,2.362,20.0,31.348,1.567
typo25_real40,12.886,15.392,1.194,8.564,14.032,1.638,21.451,29.424,1.372
typo25_real70,12.933,13.719,1.061,7.375,14.885,2.018,20.308,28.604,1.409
typo50_real10,13.158,14.21,1.08,9.32,16.557,1.777,22.479,30.767,1.369
typo50_real40,12.883,14.875,1.155,9.744,15.691,1.61,22.628,30.566,1.351
typo50_real70,13.133,14.85,1.131,11.177,18.938,1.694,24.31,33.788,1.39
typo75_real10,13.281,14.641,1.102,13.236,20.271,1.532,26.517,34.911,1.317
typo75_real40,13.141,14.719,1.12,12.537,20.89,1.666,25.678,35.609,1.387
typo75_real70,12.798,13.72,1.072,12.577,22.682,1.803,25.376,36.403,1.435
