config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,12.525,14.839,1.185,6.446,11.064,1.716,18.971,25.903,1.365
typo25_real10,13.673,16.847,1.232,9.622,17.637,1.833,23.294,34.484,1.48
typo25_real40,13.181,16.448,1.248,10.207,19.391,1.9,23.388,35.839,1.532
typo25_real70,13.794,16.296,1.181,9.914,20.991,2.117,23.709,37.287,1.573
typo50_real10,14.362,15.029,1.046,11.451,21.393,1.868,25.813,36.422,1.411
typo50_real40,14.439,15.087,1.045,12.677,20.642,1.628,27.115,35.729,1.318
typo50_real70,14.238,15.452,1.085,12.952,21.32,1.646,27.19,36.773,1.352
typo75_real10,13.945,15.006,1.076,14.607,23.665,1.62,28.552,38.671,1.354
typo75_real40,14.238,15.044,1.057,16.035,25.625,1.598,30.273,40.669,1.343
typo75_real70,13.344,14.577,1.092,16.607,25.732,1.549,29.951,40.309,1.346
