config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,500,13.005,11.494,7.404,6.544,20.409,18.038
typo25_real10,497,14.742,15.954,12.321,13.334,27.063,29.288
typo25_real40,500,14.03,14.354,12.593,12.884,26.622,27.238
typo25_real70,497,14.525,15.294,13.151,13.847,27.677,29.141
typo50_real10,500,14.63,16.796,15.443,17.73,30.073,34.526
typo50_real40,500,14.698,17.484,15.861,18.868,30.559,36.352
typo50_real70,500,14.842,17.834,17.116,20.566,31.958,38.4
typo75_real10,488,14.425,17.057,18.708,22.121,33.133,39.178
typo75_real40,495,14.682,22.113,21.316,32.105,35.998,54.218
typo75_real70,480,14.062,18.867,21.924,29.415,35.986,48.281
