config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,499,13.507,10.956,7.674,6.224,21.181,17.18
typo25_real10,498,14.388,14.106,13.3,13.04,27.688,27.147
typo25_real40,499,14.023,12.673,12.36,11.17,26.384,23.844
typo25_real70,496,14.386,13.827,13.172,12.659,27.558,26.486
typo50_real10,491,14.209,14.365,15.148,15.314,29.358,29.678
typo50_real40,487,14.039,13.793,15.671,15.396,29.71,29.189
typo50_real70,497,14.454,16.569,17.617,20.195,32.072,36.765
typo75_real10,496,14.431,19.248,20.78,27.716,35.211,46.964
typo75_real40,481,14.282,17.561,21.227,26.102,35.509,43.663
typo75_real70,477,14.072,19.421,23.479,32.405,37.551,51.826
