config,r1_acc,r1_n_answered,qwen_acc,qwen_n_answered,r1_minus_qwen,r1_drop_vs_clean,qwen_drop_vs_clean
clean,0.9516,496,0.7615,499,0.1901,0.0,0.0
typo25_real10,0.9394,495,0.7545,497,0.1849,-0.0122,-0.007
typo25_real40,0.9337,498,0.7295,499,0.2043,-0.0179,-0.0321
typo25_real70,0.9393,494,0.7369,498,0.2023,-0.0123,-0.0246
typo50_real10,0.9277,498,0.7275,499,0.2003,-0.0239,-0.0341
typo50_real40,0.9137,498,0.7234,499,0.1902,-0.038,-0.0381
typo50_real70,0.9153,496,0.7212,495,0.1941,-0.0363,-0.0403
typo75_real10,0.8907,494,0.68,500,0.2107,-0.0609,-0.0815
typo75_real40,0.881,496,0.6606,498,0.2204,-0.0706,-0.1009
typo75_real70,0.8692,497,0.6934,499,0.1758,-0.0824,-0.0681
