config,n,mean_self_doubt,median_self_doubt,frac_self_doubt_ge5,mean_repair_understanding,median_repair_understanding,frac_repair_understanding_ge3,evidence_self_doubt_frac,evidence_repair_frac
clean,464,3.657,2,0.3513,0.032,0,0.0043,0.9073,0.9914
typo25_real10,463,3.767,2,0.3931,0.257,0,0.0108,0.9114,0.8963
typo25_real40,447,3.964,3,0.4273,0.36,0,0.0268,0.9016,0.8881
typo25_real70,455,3.958,2,0.4308,0.433,0,0.0308,0.8901,0.9011
typo50_real10,460,4.063,4,0.4413,0.322,0,0.0304,0.913,0.9065
typo50_real40,446,3.996,2,0.4126,0.365,0,0.0426,0.9126,0.9215
typo50_real70,454,3.888,2,0.4075,0.366,0,0.0286,0.8855,0.9119
typo75_real10,456,3.77,2,0.3904,0.377,0,0.0395,0.9211,0.9167
typo75_real40,459,4.118,4,0.4553,0.442,0,0.0501,0.8954,0.9107
typo75_real70,460,4.133,3,0.4413,0.62,0,0.087,0.8804,0.8804
