config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,12.356,14.447,1.169,6.327,10.735,1.697,18.683,25.182,1.348
typo25_real10,11.614,13.593,1.17,6.543,10.663,1.63,18.157,24.256,1.336
typo25_real40,13.011,17.929,1.378,6.978,10.588,1.517,19.989,28.516,1.427
typo25_real70,12.744,16.619,1.304,7.667,12.846,1.676,20.411,29.465,1.444
typo50_real10,12.079,16.563,1.371,7.004,13.787,1.968,19.083,30.35,1.59
typo50_real40,12.348,14.628,1.185,7.496,14.696,1.961,19.844,29.323,1.478
typo50_real70,12.277,17.265,1.406,7.344,13.938,1.898,19.62,31.203,1.59
typo75_real10,11.849,16.775,1.416,6.839,14.124,2.065,18.688,30.899,1.653
typo75_real40,11.786,16.224,1.377,7.405,15.24,2.058,19.191,31.464,1.639
typo75_real70,11.772,15.448,1.312,8.054,14.074,1.747,19.826,29.522,1.489
