config,n_answered,explicit_frac,silent_correct,silent_wrong,explicit_correct,explicit_wrong
clean,481,0.104,0.8649,0.0312,0.0873,0.0166
typo25_real10,454,0.2357,0.7247,0.0396,0.1828,0.0529
typo25_real40,458,0.262,0.6856,0.0524,0.2227,0.0393
typo25_real70,454,0.2974,0.6454,0.0573,0.2489,0.0485
typo50_real10,446,0.3744,0.5448,0.0807,0.2982,0.0762
typo50_real40,445,0.3663,0.5348,0.0989,0.2899,0.0764
typo50_real70,433,0.4342,0.4827,0.0831,0.3072,0.127
typo75_real10,412,0.4539,0.4636,0.0825,0.318,0.1359
typo75_real40,417,0.482,0.4436,0.0743,0.3189,0.1631
typo75_real70,392,0.4974,0.4158,0.0867,0.2985,0.199
