config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,481,12.924,9.757,5.783,4.366,18.707,14.123
typo25_real10,454,13.266,9.731,8.455,6.203,21.721,15.934
typo25_real40,458,13.196,10.284,9.24,7.201,22.436,17.485
typo25_real70,454,13.056,9.795,8.546,6.412,21.602,16.207
typo50_real10,446,13.385,10.87,10.878,8.834,24.263,19.704
typo50_real40,445,13.333,10.739,11.087,8.93,24.42,19.67
typo50_real70,433,13.639,11.189,13.465,11.046,27.104,22.236
typo75_real10,412,13.695,11.682,15.38,13.119,29.075,24.801
typo75_real40,417,13.629,11.914,15.121,13.218,28.751,25.132
typo75_real70,392,13.162,11.801,16.565,14.852,29.727,26.653
