config,n,silent_readthrough,explicit_notice_fix,explicit_notice_nofix,misread_wrong_word,derailed,unclear,not_applicable
clean,324,0.0,0.0031,0.0031,0.0,0.0,0.0,0.9938
typo25_real10,373,0.7587,0.1716,0.0161,0.0536,0.0,0.0,0.0
typo25_real40,369,0.7425,0.1653,0.0325,0.0596,0.0,0.0,0.0
typo25_real70,376,0.6755,0.1862,0.0293,0.109,0.0,0.0,0.0
typo50_real10,389,0.7326,0.2134,0.0411,0.0129,0.0,0.0,0.0
typo50_real40,347,0.6484,0.2709,0.0317,0.049,0.0,0.0,0.0
typo50_real70,369,0.5772,0.2683,0.0488,0.103,0.0,0.0027,0.0
typo75_real10,379,0.5752,0.3694,0.0343,0.0211,0.0,0.0,0.0
typo75_real40,401,0.5511,0.3566,0.0324,0.0574,0.0025,0.0,0.0
typo75_real70,413,0.4504,0.4165,0.0654,0.0678,0.0,0.0,0.0
