config,2g_correct,2g_wrong,2g_wrong_over_correct,un_correct,un_wrong,un_wrong_over_correct,tot_correct,tot_wrong,tot_wrong_over_correct
clean,7.608,7.699,1.012,3.233,5.839,1.806,10.841,13.537,1.249
typo25_real10,9.765,9.939,1.018,5.43,9.8,1.805,15.195,19.739,1.299
typo25_real40,9.001,8.673,0.964,8.233,10.098,1.226,17.234,18.77,1.089
typo25_real70,9.031,7.109,0.787,5.692,13.088,2.299,14.723,20.197,1.372
typo50_real10,9.268,5.945,0.642,8.927,10.378,1.163,18.194,16.324,0.897
typo50_real40,8.789,5.65,0.643,6.887,10.668,1.549,15.676,16.318,1.041
typo50_real70,7.719,5.715,0.74,8.786,4.986,0.568,16.505,10.701,0.648
typo75_real10,8.248,9.86,1.195,7.792,17.155,2.202,16.041,27.015,1.684
typo75_real40,6.718,5.689,0.847,9.05,11.315,1.25,15.767,17.003,1.078
typo75_real70,6.22,5.798,0.932,8.534,10.397,1.218,14.754,16.195,1.098
