config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,497,7.625,1.64,3.705,0.797,11.329,2.437
typo25_real10,485,9.811,2.746,6.593,1.845,16.404,4.592
typo25_real40,488,8.918,2.328,8.706,2.273,17.623,4.6
typo25_real70,487,8.554,2.133,7.525,1.877,16.08,4.01
typo50_real10,486,8.421,1.977,9.297,2.183,17.717,4.16
typo50_real40,489,7.765,1.697,8.121,1.775,15.886,3.472
typo50_real70,489,7.044,1.466,7.506,1.562,14.55,3.029
typo75_real10,490,8.944,2.324,11.834,3.076,20.778,5.4
typo75_real40,493,6.252,1.331,10.074,2.144,16.326,3.475
typo75_real70,490,5.984,1.112,9.575,1.78,15.559,2.892
