config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,499,12.641,8.886,6.985,4.91,19.626,13.796
typo25_real10,499,12.603,8.174,11.327,7.347,23.93,15.521
typo25_real40,497,11.875,7.612,10.033,6.431,21.908,14.042
typo25_real70,499,12.6,8.283,11.524,7.575,24.124,15.858
typo50_real10,499,11.926,7.898,12.092,8.008,24.018,15.906
typo50_real40,499,11.576,7.968,14.744,10.148,26.321,18.116
typo50_real70,499,12.574,8.685,14.158,9.78,26.732,18.465
typo75_real10,492,12.991,11.1,16.314,13.939,29.305,25.039
typo75_real40,489,12.226,9.867,18.267,14.742,30.493,24.609
typo75_real70,492,11.577,9.295,20.985,16.848,32.562,26.142
