config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace
clean,496,12.558,17.667,6.754,9.502,19.312,27.169
typo25_real10,495,11.818,16.794,6.969,9.903,18.787,26.697
typo25_real40,498,13.722,20.655,7.5,11.289,21.223,31.944
typo25_real70,494,13.172,18.96,8.238,11.858,21.41,30.818
typo50_real10,498,12.694,18.213,7.934,11.384,20.629,29.596
typo50_real40,498,12.747,19.247,8.756,13.221,21.503,32.468
typo50_real70,496,13.136,19.772,8.48,12.764,21.616,32.536
typo75_real10,494,12.687,17.984,8.079,11.451,20.766,29.435
typo75_real40,496,12.705,19.482,9.027,13.843,21.732,33.325
typo75_real70,497,12.549,19.394,9.326,14.414,21.875,33.809
